project_slug,project_name,market_cap_usd,price_usd,total_invested,invest_mcap_ratio,funds_count,fund_slug,fund_name,fund_invested
ethena-labs,ENA,1891124687.5,0.2464,176000000.0,0.09306631189541806,31,stani-kulechov,Stani Kulechov,518518.51851851854
ethena-labs,ENA,1891124687.5,0.2464,176000000.0,0.09306631189541806,31,wintermute,Wintermute,518518.51851851854
ethena-labs,ENA,1891124687.5,0.2464,176000000.0,0.09306631189541806,31,sam-kazemian,Sam Kazemian,518518.51851851854
ethena-labs,ENA,1891124687.5,0.2464,176000000.0,0.09306631189541806,31,bybit,Bybit,518518.51851851854
ethena-labs,ENA,1891124687.5,0.2464,176000000.0,0.09306631189541806,31,amber-group,Amber Group,518518.51851851854
ethena-labs,ENA,1891124687.5,0.2464,176000000.0,0.09306631189541806,31,anthony-sassano,Anthony Sassano,518518.51851851854
ethena-labs,ENA,1891124687.5,0.2464,176000000.0,0.09306631189541806,31,mr-block,Mr. Block,518518.51851851854
ethena-labs,ENA,1891124687.5,0.2464,176000000.0,0.09306631189541806,31,cobie,Cobie,518518.51851851854
ethena-labs,ENA,1891124687.5,0.2464,176000000.0,0.09306631189541806,31,brevan-howard,Brevan Howard,518518.51851851854
ethena-labs,ENA,1891124687.5,0.2464,176000000.0,0.09306631189541806,31,gemini-funds,Gemini Funds,518518.51851851854
ethena-labs,ENA,1891124687.5,0.2464,176000000.0,0.09306631189541806,31,castle-island-ventures,Castle Island Ventures,518518.51851851854
ethena-labs,ENA,1891124687.5,0.2464,176000000.0,0.09306631189541806,31,deribit,Deribit,518518.51851851854
ethena-labs,ENA,1891124687.5,0.2464,176000000.0,0.09306631189541806,31,nic-carter,Nic Carter,518518.51851851854
worldcoin,WLD,1456314698.66,0.593,135000000.0,0.09269974417220238,5,mirana-ventures,Mirana Ventures,27000000.0
worldcoin,WLD,1456314698.66,0.593,135000000.0,0.09269974417220238,5,bain-capital-crypto,Bain Capital Crypto,27000000.0
worldcoin,WLD,1456314698.66,0.593,135000000.0,0.09269974417220238,5,selini-capital,Selini Capital,27000000.0
worldcoin,WLD,1456314698.66,0.593,135000000.0,0.09269974417220238,5,a16zcrypto,a16z crypto CSX,27000000.0
worldcoin,WLD,1456314698.66,0.593,135000000.0,0.09269974417220238,5,arctic-digital,Arctic Digital,27000000.0
ignition-fbtc,FBTC,1049213647.92,90187,10000000.0,0.009530947314519183,3,galaxy-digital,Galaxy,3333333.3333333335
ignition-fbtc,FBTC,1049213647.92,90187,10000000.0,0.009530947314519183,3,antalpha,Antalpha,3333333.3333333335
ignition-fbtc,FBTC,1049213647.92,90187,10000000.0,0.009530947314519183,3,mantle,Mantle,3333333.3333333335
flare-network,FLR,1001879433.01,0.01244,35000000.0,0.034934343242128074,2,kenetic-capital,Kenetic Capital,17500000.0
flare-network,FLR,1001879433.01,0.01244,35000000.0,0.034934343242128074,2,aves-lair,Aves Lair,17500000.0
pudgy-penguins,PENGU,713465495.62,0.011333,11000000.0,0.015417704244325122,5,fenbushi-capital,Fenbushi Capital,2200000.0
pudgy-penguins,PENGU,713465495.62,0.011333,11000000.0,0.015417704244325122,5,1kx,1kx,2200000.0
pudgy-penguins,PENGU,713465495.62,0.011333,11000000.0,0.015417704244325122,5,everest-ventures,Everest Ventures,2200000.0
pudgy-penguins,PENGU,713465495.62,0.011333,11000000.0,0.015417704244325122,5,founders-fund,Founders Fund,2200000.0
pudgy-penguins,PENGU,713465495.62,0.011333,11000000.0,0.015417704244325122,5,selini-capital,Selini Capital,2200000.0
story,IP,644405959.4,1.912,162000000.0,0.25139432315436155,4,heritage-distilling,Heritage Distilling,82000000.0
story,IP,644405959.4,1.912,162000000.0,0.25139432315436155,4,a16z-andreessen-horowitz,Andreessen Horowitz (a16z),26666666.666666668
story,IP,644405959.4,1.912,162000000.0,0.25139432315436155,4,polychain-capital,Polychain Capital,26666666.666666668
story,IP,644405959.4,1.912,162000000.0,0.25139432315436155,4,adrian-cheng,Adrian Cheng,26666666.666666668
morpho,MORPHO,616690234.37,1.142,49999999.999999985,0.08107798245107467,18,a16z-andreessen-horowitz,Andreessen Horowitz (a16z),2777777.777777778
morpho,MORPHO,616690234.37,1.142,49999999.999999985,0.08107798245107467,18,variant-fund,Variant,2777777.777777778
morpho,MORPHO,616690234.37,1.142,49999999.999999985,0.08107798245107467,18,coinbase-ventures,Coinbase Ventures,2777777.777777778
morpho,MORPHO,616690234.37,1.142,49999999.999999985,0.08107798245107467,18,pantera-capital,Pantera Capital,2777777.777777778
morpho,MORPHO,616690234.37,1.142,49999999.999999985,0.08107798245107467,18,blocktower-capital,Strobe (Prev. BlockTower Capital),2777777.777777778
morpho,MORPHO,616690234.37,1.142,49999999.999999985,0.08107798245107467,18,iosg-ventures,IOSG Ventures,2777777.777777778
morpho,MORPHO,616690234.37,1.142,49999999.999999985,0.08107798245107467,18,fenbushi-capital,Fenbushi Capital,2777777.777777778
morpho,MORPHO,616690234.37,1.142,49999999.999999985,0.08107798245107467,18,semantic-ventures,Semantic Ventures,2777777.777777778
morpho,MORPHO,616690234.37,1.142,49999999.999999985,0.08107798245107467,18,robot-ventures,Robot Ventures,2777777.777777778
morpho,MORPHO,616690234.37,1.142,49999999.999999985,0.08107798245107467,18,rockaway-capital,Rockaway Capital,2777777.777777778
morpho,MORPHO,616690234.37,1.142,49999999.999999985,0.08107798245107467,18,kraken-ventures,Kraken,2777777.777777778
morpho,MORPHO,616690234.37,1.142,49999999.999999985,0.08107798245107467,18,hack-vc,Hack VC,2777777.777777778
morpho,MORPHO,616690234.37,1.142,49999999.999999985,0.08107798245107467,18,ribbit-capital,Ribbit Capital,2777777.777777778
morpho,MORPHO,616690234.37,1.142,49999999.999999985,0.08107798245107467,18,mirana-ventures,Mirana Ventures,2777777.777777778
