project_slug,project_name,symbol,category,market_cap_usd,price_usd,ico_price_usd,ico_roi,total_invested,invest_mcap_ratio,first_valuation,last_valuation,funds_count,top_funds
basevol,BaseVol,,DeFi,,,,,3000000.0,,30000000,30000000,5,"Altos Ventures ($600,000); Baboon VC ($600,000); WTIC ($600,000); Neoclassic Capital ($600,000); Virtuals Ventures ($600,000)"
voyage-2,Voyage,,Infrastructure,,,,,3000000.0,,30000000,30000000,12,"IOSG Ventures ($250,000); Solana Ventures ($250,000); MH Ventures ($250,000); Big Brain Holdings ($250,000); Alliance ($250,000)"
me3,Me3,,Play to Earn,,,,,3000000.0,,30000000,30000000,6,"Outlier Ventures ($500,000); MV Global ($500,000); Marshland Capital ($500,000); Maven Capital ($500,000); Tokocrypto ($500,000)"
deepsafe,DeepSafe,,Blockchain Service,,,,,3000000.0,,30000000,30000000,8,"Spark Digital Capital ($375,000); ViaBTC Capital ($375,000); Gate.io ($375,000); Cogitent Ventures ($375,000); Antalpha ($375,000)"
pruv-finance,Pruv Finance,,Blockchain,,,,,3000000.0,,30000000,30000000,6,"UOB Venture Management ($500,000); Saison Capital ($500,000); Taisu Ventures ($500,000); Spiral Ventures ($500,000); Ascent Group ($500,000)"
deepnode-ai,DeepNode AI,DEEP,Infrastructure,,,,,3000000.0,,75000000,75000000,6,"Blockchain Founders Fund ($500,000); Side Door Ventures ($500,000); IOBC Capital ($500,000); FOMO Ventures ($500,000); TB Ventures (TBV) ($500,000)"
chibi-clash-ico,Chibi Clash,CLASH,,,,,,3000000.0,,30000000,30000000,12,"NGC Ventures ($250,000); Panony ($250,000); Jump Capital ($250,000); Genblock Capital ($250,000); Shima Capital ($250,000)"
strider-ico,Strider,,,,,,,8500000.0,,30000000,55000000,11,"Sfermion ($1,528,571); Fabric Ventures ($1,100,000); Shima Capital ($1,100,000); Makers Fund ($1,100,000); Magic Eden ($1,100,000)"
tenderize-ico,Tenderize,,,,,,,3000000.0,,30000000,30000000,5,"Figment Capital ($600,000); TRGC ($600,000); Eden Block ($600,000); Daedalus ($600,000); Encode Club ($600,000)"
cashmere-ico,Cashmere,,,,,,,3000000.0,,30000000,30000000,7,"Coinbase Ventures ($428,571); FBG Capital ($428,571); Notation Capital ($428,571); Y Combinator ($428,571); Volt Capital ($428,571)"
nevermined-ico,Nevermined,,,,,,,7000000.0,,30000000,40000000,5,"Polymorphic Capital ($2,500,000); Signature Ventures ($1,500,000); GenerativeVentures ($1,000,000); Arca ($1,000,000); Halo Capital ($1,000,000)"
landvault-ex-admix-ico,LandVault (ex Admix),,,,,,,3000000.0,,30000000,30000000,4,"Kingsway Capital ($750,000); Gemini Frontier Fund ($750,000); HodlCo ($750,000); The Sandbox ($750,000)"
paprmeme-ico,PaprMeme,,,,,,,3000000.0,,30000000,30000000,1,"Coinbase Ventures ($3,000,000)"
voldex-ico,Voldex,,,,,,,3000000.0,,30000000,30000000,3,"Makers Fund ($1,000,000); Dune Ventures ($1,000,000); Pow Interactive ($1,000,000)"
geode-finance-ico,Geode Finance,,,,,,,3000000.0,,30000000,30000000,4,"Multicoin Capital ($750,000); C2 Ventures ($750,000); Eden Network ($750,000); GSR Markets (GSR) ($750,000)"
collecto,Collecto,,Finance,,,,,3020000.0,,30200000,30200000,8,"Marcello Albergoni ($377,500); Alessandro Zanotti ($377,500); Andrea Travasoni ($377,500); Guido Frisiani ($377,500); Gianluca Corti ($377,500)"
cygnetise,Cygnetise,,Blockchain Service,,,,,3060000.0,,30600000,30600000,2,"Adjuvo ($1,530,000); Massive ($1,530,000)"
the-bagel-network,The Bagel Network,,Blockchain Service,,,,,3100000.0,,31000000,31000000,6,"CoinFund ($516,667); Maven 11 Capital ($516,667); Borderless Capital ($516,667); Protocol Labs ($516,667); Breed ($516,667)"
soccerverse,Soccerverse,,Gaming,,,,,3100000.0,,31000000,31000000,2,"Square Enix ($1,550,000); Hiro Capital ($1,550,000)"
helius,Helius,,Blockchain Service,,,,,34350000.0,,31000000,217500000,12,"Chapter One Ventures ($5,967,857); Foundation Capital ($5,525,000); 6MV (6th Man Ventures) ($5,525,000); Founders Fund ($3,625,000); Haun Ventures ($3,625,000)"
sekai,Sekai,,Social,,,,,3100000.0,,31000000,31000000,5,"Hashed ($620,000); Orange DAO ($620,000); Zypsy ($620,000); a16z crypto CSX ($620,000); Azuki ($620,000)"
cybrid,Cybrid,,Blockchain Service,,,,,3100000.0,,31000000,31000000,3,"Golden Ventures ($1,033,333); Luge Capital ($1,033,333); Harvest Ventures ($1,033,333)"
only-dust,Only Dust,,Social,,,,,3189999.9999999995,,31900000,31900000,6,"Fabric Ventures ($531,667); Stake Capital ($531,667); Anthony Sassano ($531,667); Tim Beiko ($531,667); Ergodic Capital ($531,667)"
fyde,Fyde,FYDE,DeFi,,0.003129,,,3200000.0,,32000000,32000000,4,"Merit Circle ($800,000); Arrington Capital ($800,000); OP Crypto ($800,000); Big Brain Holdings ($800,000)"
exchange-art,Exchange Art,ART,NFT,,0.0006032,,,3200000.0,,32000000,32000000,3,"Cultur3 Capital ($1,066,667); Big Brain Holdings ($1,066,667); Cozomo de Medici ($1,066,667)"
neutral,Neutral,,Blockchain Service,,,,,3200000.0000000005,,32000000,32000000,7,"Digital Currency Group (DCG) ($457,143); Rarestone Capital ($457,143); North Island Ventures ($457,143); Cerulean Ventures ($457,143); Redalpine ($457,143)"
nodeshift,NodeShift,,Infrastructure,,,,,3200000.0,,32000000,32000000,5,"10x Founders ($640,000); Kestrel0x1 ($640,000); Notion Capital ($640,000); Epic Games ($640,000); Inovo.vc ($640,000)"
backed,Backed,,DeFi,,,,,12700000.0,,32000000,95000000,8,"Exor Seeds ($2,787,500); Mindset Ventures ($2,787,500); Stake Capital ($1,187,500); Blockchain Founders Fund ($1,187,500); Blue Bay Capital ($1,187,500)"
truvius,Truvius,,Finance,,,,,3200000.0,,32000000,32000000,3,"New Form Capital ($1,066,667); Galaxy ($1,066,667); Chainview Capital ($1,066,667)"
veda,Veda,,Infrastructure,,,,,21200000.0,,32000000,180000000,20,"Bitgo ($2,066,667); Draper Dragon ($1,066,667); Marana Ventures ($1,066,667); Coinbase Ventures ($1,000,000); Animoca Brands ($1,000,000)"
rise-chain,RISE Chain,,Blockchain,,,,,7200000.0,,32000000,40000000,15,"Galaxy ($4,000,000); Digital Asset Capital Management (DACM) ($228,571); P2 Ventures ($228,571); Stani Kulechov ($228,571); Sandeep Nailwal ($228,571)"
bridgeport,BridgePort,,Finance,,,,,3200000.0000000005,,32000000,32000000,6,"Blockchain Founders Fund ($533,333); Humla Ventures ($533,333); FunFair Ventures ($533,333); XBTO Group ($533,333); Further ($533,333)"
metaverse-magna-ico,Metaverse Magna,,,,,,,3200000.0,,32000000,32000000,9,"Polygon Studios ($355,556); LD Capital ($355,556); Tess Ventures ($355,556); Taureon ($355,556); Wemade ($355,556)"
uxuy-ico,Uxuy,,,,,,,10200000.0,,32000000,70000000,21,"Bixin Ventures ($970,833); Lapin Digital ($533,333); Arcane Group ($533,333); LK Venture ($533,333); KuCoin Ventures ($533,333)"
artifact-labs,Artifact Labs,,NFT,,,,,3250000.0,,32500000,32500000,2,"Animoca Brands ($1,625,000); Blue Pool Capital ($1,625,000)"
noble,Noble,,Blockchain Service,,,,,18300000.0,,33000000,150000000,16,"Wintermute ($4,003,846); Paradigm ($3,750,000); Foresight Ventures ($3,750,000); Informal Systems ($3,750,000); Kevin Ding ($253,846)"
due,Due,,Blockchain Service,,,,,7300000.0,,33000000,40000000,6,"Polymorphic Capital ($1,350,000); Speedinvest ($1,350,000); Fabric Ventures ($1,350,000); Strobe (Prev. BlockTower Capital) ($1,350,000); Semantic Ventures ($1,350,000)"
citadel-2,Citadel,,Gaming,,,,,3300000.0,,33000000,33000000,5,"Hashed ($660,000); 1kx ($660,000); Shima Capital ($660,000); Ready Player DAO ($660,000); MatchboxDAO ($660,000)"
block-scholes,Block Scholes,,Blockchain Service,,,,,3300000.0,,33000000,33000000,6,"FunFair Ventures ($550,000); Saison Capital ($550,000); CoinSwitch ($550,000); Investcorp ($550,000); Record ($550,000)"
phoenix-2,Phoenix,,DEX,,,,,23300000.0,,33000000,200000000,7,"Electric Capital ($10,550,000); Paradigm ($10,000,000); Robot Ventures ($550,000); Anatoly Yakovenko ($550,000); Anagram Crypto ($550,000)"
stashh,Stashh,,Social,,,,,3300000.0,,33000000,33000000,5,"Animoca Brands ($660,000); Sfermion ($660,000); HashKey Capital ($660,000); Shima Capital ($660,000); 6MV (6th Man Ventures) ($660,000)"
rena-labs,Rena Labs,,Infrastructure,,,,,3300000.0000000005,,33000000,33000000,13,"Paper Ventures ($253,846); Rushi Manche ($253,846); Cooper Scanlon ($253,846); Eterna Capital ($253,846); Mapleblock Capital ($253,846)"
openblocks,OpenBlocks,,Blockchain Service,,,,,3300000.0,,33000000,33000000,5,"Supra Oracles ($660,000); Wemade ($660,000); Algorand Foundation ($660,000); Kestrel0x1 ($660,000); GS Futures ($660,000)"
blindpay,BlindPay,,Blockchain Service,,,,,3299999.9999999995,,33000000,33000000,9,"Transpose Platform ($366,667); Acacia Venture Capital Partners ($366,667); Jawed Karim ($366,667); Y Combinator ($366,667); 468 Capital ($366,667)"
spicenet,Spicenet,,Layer-2,,,,,3399999.9999999995,,34000000,34000000,19,"Magnus Capital ($178,947); Hack VC ($178,947); Tekin Salimi ($178,947); George Lambeth ($178,947); Zaki Manian ($178,947)"
otonomi,Otonomi,,Insurance,,,,,3400000.0,,34000000,34000000,8,"Bering Waters Ventures ($425,000); ATX Venture Partners ($425,000); Greenlight Re Innovations ($425,000); Punja.VC ($425,000); Altari Ventures ($425,000)"
miningstore,MiningStore,,Blockchain Service,,,,,3400000.0,,34000000,34000000,1,"Millennium Infrastructure Fund ($3,400,000)"
renegade-ico,Renegade,,,,,,,3399999.9999999995,,34000000,34000000,6,"Balaji Srinivasan ($566,667); Naval Ravikant ($566,667); Tarun Chitra ($566,667); Marc Bhargava ($566,667); Dragonfly Capital ($566,667)"
akave,Akave,,Layer-2,,,,,3450000.0,,34500000,34500000,4,"Blockchange Ventures ($862,500); Protocol Labs ($862,500); Lightshift Capital ($862,500); Blockchain Builders Fund ($862,500)"
aifinyo,aifinyo,,Finance,,,,,3480000.0,,34800000,34800000,1,"UTXO Management ($3,480,000)"
sort,Sort,,Blockchain Service,,,,,3500000.0,,35000000,35000000,7,"Lemniscap ($500,000); Alliance ($500,000); Blizzard Fund (Avalanche Ecosystem) ($500,000); Orange DAO ($500,000); gmjp ($500,000)"
stroom-network,Stroom Network,,DeFi,,,,,3500000.0000000005,,35000000,35000000,6,"Lemniscap ($583,333); Cogitent Ventures ($583,333); Ankr ($583,333); Greenfield Capital ($583,333); Mission Street Ventures ($583,333)"
ostium-labs,Ostium Labs,,DeFi,,,,,23500000.0,,35000000,250000000,8,"General Catalyst ($4,875,000); Coinbase Ventures ($4,000,000); Wintermute ($4,000,000); Jump Trading ($4,000,000); GSR Markets (GSR) ($4,000,000)"
life-beyond-studios,Life Beyond Studios,,Gaming,,,,,3500000.0000000005,,35000000,35000000,6,"Animoca Brands ($583,333); Blocore ($583,333); GameFi Ventures ($583,333); Yat Siu ($583,333); Citizen Capital ($583,333)"
stablr,StablR,,Stablecoin,,,,,3500000.0,,35000000,35000000,5,"Maven 11 Capital ($700,000); Folkvang ($700,000); Deribit ($700,000); Blocktech Ventures ($700,000); Theta Blockchain Ventures ($700,000)"
mith,MITH,,Social,,,,,3500000.0000000005,,35000000,35000000,6,"CMT Digital ($583,333); Winklevoss Capital ($583,333); Warner Music Group ($583,333); NEAR Foundation ($583,333); Alpha Praetorian Capital ($583,333)"
wynd-2,Wynd Network,,Infrastructure,,,,,3500000.0,,35000000,35000000,5,"Big Brain Holdings ($700,000); Mozaik Capital ($700,000); Polychain Capital ($700,000); BitScale Capital ($700,000); Tribe Capital ($700,000)"
startale-labs,Startale Labs,,Infrastructure,,,,,7000000.000000001,,35000000,35000000,3,"Sony Network Communications ($4,666,667); Signum Capital ($1,166,667); Samsung NEXT ($1,166,667)"
witness,Witness,,Infrastructure,,,,,3500000.0,,35000000,35000000,8,"Coinbase Ventures ($437,500); Tarun Chitra ($437,500); Haun Ventures ($437,500); Elias Simos ($437,500); Henri Stern ($437,500)"
zest-protocol-2,Zest Protocol,,DeFi,,,,,3500000.0,,35000000,35000000,4,"YZi Labs (prev Binance Labs) ($875,000); Tim Draper ($875,000); Flow Traders ($875,000); Trust Machines ($875,000)"
tread-fi,Tread.fi,,Infrastructure,,,,,3500000.0,,35000000,35000000,7,"GBV Capital ($500,000); Varys Capital ($500,000); New Form Capital ($500,000); Daedalus ($500,000); Aquanow ($500,000)"
crunchdao,CrunchDAO,,Artificial Intelligence (AI),,,,,8500000.0,,35000000,50000000,10,"Multicoin Capital ($1,500,000); Fabric Ventures ($1,500,000); Elixir Capital ($875,000); Factor Capital ($875,000); Galaxy ($625,000)"
echelon,Echelon,,Lending Platform,,,,,3499999.999999999,,35000000,35000000,13,"Amber Group ($269,231); DCF GOD ($269,231); Re7 Capital ($269,231); Serafund ($269,231); Saison Capital ($269,231)"
fountain-2,Fountain,,Infrastructure,,,,,3500000.0,,35000000,35000000,4,"Foundation Capital ($875,000); Caladan (Alphalab) ($875,000); Primal Capital ($875,000); Druid Ventures ($875,000)"
wingbits,Wingbits,,Blockchain Service,,,,,9100000.0,,35000000,56000000,7,"Tribe Capital ($1,966,667); Borderless Capital ($1,966,667); Antler ($1,966,667); The Spartan Group ($800,000); SNZ Holding ($800,000)"
squidrouter,Squid,,Blockchain Service,,,,,7500000.000000002,,35000000,40000000,21,"North Island Ventures ($576,923); Fabric Ventures ($576,923); Distributed Global ($576,923); Node Capital ($576,923); Chapter One Ventures ($576,923)"
eidon-ai,Eidon AI,,Infrastructure,,,,,3500000.0,,35000000,35000000,2,"Framework Ventures ($1,750,000); cyber Fund ($1,750,000)"
inception,Inception,,DeFi,,,,,3499999.9999999986,,35000000,35000000,30,"Chorus One ($116,667); CSP DAO ($116,667); DuckDAO ($116,667); Gains Associates ($116,667); Mr. Block ($116,667)"
stable-sea,Stable Sea,,Finance,,,,,3500000.0,,35000000,35000000,5,"The Fintech Fund ($700,000); Kindred Ventures ($700,000); Ludlow Ventures ($700,000); The Venture Dept ($700,000); DFS Lab ($700,000)"
the9-2,The9,,Gaming,,,,,11499999.999999998,,35000000,80000000,3,"FineWill Capital ($6,166,667); Elune Capital ($2,666,667); Bripheno Pte. Ltd. ($2,666,667)"
melee,Melee,,DeFi,,,,,3500000.0,,35000000,35000000,2,"Variant ($1,750,000); DBA ($1,750,000)"
0xbow,0xbow,,Blockchain Service,,,,,3500000.0,,35000000,35000000,4,"Coinbase Ventures ($875,000); Boost VC ($875,000); Status ($875,000); Starbloom Capital ($875,000)"
glory-finance-ico,Glory Finance,GLR,,,,0.8,,3500000.0,,35000000,35000000,4,"Immunefi ($875,000); P2 Ventures ($875,000); Gate.io ($875,000); FMFW ($875,000)"
yoz-ico,Yoz,,Web 3.0,,,,,3500000.0,,35000000,35000000,7,"Naval Ravikant ($500,000); Collab+Currency ($500,000); Electric Capital ($500,000); Coinbase Ventures ($500,000); Dapper Labs ($500,000)"
debt-dao-ico,Debt DAO,DEBT,,,,,,3500000.0,,35000000,35000000,5,"Dragonfly Capital ($700,000); Numeus ($700,000); GSR Markets (GSR) ($700,000); Daedalus ($700,000); Fasanara Capital ($700,000)"
quivr-ico,QUIVR,,,,,,,3550000.0,,35500000,35500000,5,"Sfermion ($710,000); FBG Capital ($710,000); Jason Zeng ($710,000); Infinity Ventures Crypto (IVC) ($710,000); C2 Ventures ($710,000)"
labdao,LabDAO,,Social,,,,,3600000.0000000005,,36000000,36000000,14,"Village Global ($257,143); Balaji Srinivasan ($257,143); North Island Ventures ($257,143); Gnosis ($257,143); ID Theory ($257,143)"
roi,Roi,,NFT,,,,,3600000.0,,36000000,36000000,5,"Balaji Srinivasan ($720,000); Gradient Ventures ($720,000); Spark Capital ($720,000); 35Ventures ($720,000); Kevin Durant ($720,000)"
freatic,Freatic,,Blockchain Service,,,,,3600000.0,,36000000,36000000,9,"MacLane Wilkison ($400,000); Anagram Crypto ($400,000); Andreessen Horowitz (a16z) ($400,000); Robot Ventures ($400,000); Not3Lau Capital ($400,000)"
mogul,Mogul,,Blockchain Service,,,,,3600000.0,,36000000,36000000,8,"InterVest ($450,000); Draper Dragon ($450,000); Draper Associates ($450,000); Tim Draper ($450,000); Blizzard Fund (Avalanche Ecosystem) ($450,000)"
polymer-labs,Polymer Labs,,Blockchain,,,,,26599999.999999993,,36000000,230000000,26,"Distributed Global ($2,290,909); Digital Currency Group (DCG) ($2,290,909); North Island Ventures ($2,290,909); Blockchain Capital ($2,090,909); Maven 11 Capital ($2,090,909)"
kravata,Kravata,,Infrastructure,,,,,3600000.0,,36000000,36000000,5,"SIMMA Capital ($720,000); Framework Ventures ($720,000); Circle Ventures ($720,000); Volt Capital ($720,000); Magma Partners ($720,000)"
datawisp-ico,Datawisp,,,,,,,3600000.0,,36000000,36000000,5,"CoinFund ($720,000); Mirana Ventures ($720,000); Play Ventures ($720,000); Spartan Capital ($720,000); DWeb3 Capital ($720,000)"
curvance-ico,Curvance,CVE,,,,,,7600000.000000002,,56000000,40000000,13,"Proof Group ($600,000); Sandeep Nailwal ($600,000); Wormhole ($600,000); Dewhales ($600,000); 369 Capital ($600,000)"
soulbound-ico,Soulbound,,,,,,,7600000.000000002,,36000000,40000000,15,"Animoca Brands ($871,429); NGC Ventures ($871,429); Panony ($871,429); Delta Blockchain Fund ($871,429); David Johansson ($571,429)"
airstack,Airstack,,Blockchain Service,,,,,11500000.000000002,,38000000,40000000,32,"Resolute Ventures ($755,556); NGC Ventures ($616,959); WWVentures ($616,959); Kyber Network ($528,070); Allen Day ($528,070)"
firewall,Firewall,,Infrastructure,,,,,3700000.0000000005,,37000000,37000000,12,"Pranay Mohan ($308,333); Kain Warwick ($308,333); Hack VC ($308,333); North Island Ventures ($308,333); Nathan McCauley ($308,333)"
degaming,DeGaming,,Gaming,,,,,3720000.0,,37200000,37200000,1,"XVC Tech ($3,720,000)"
firstmate,FirstMate,,NFT,,,,,3750000.0,,37500000,37500000,3,"Coinbase Ventures ($1,250,000); Dragonfly Capital ($1,250,000); NextView ($1,250,000)"
finisterra-labs,Finisterra Labs,,Infrastructure,,,,,3750000.0,,37500000,37500000,2,"Haun Ventures ($1,875,000); Lightshift Capital ($1,875,000)"
reflect-2,Reflect,,DeFi,,,,,3750000.0,,37500000,37500000,5,"Solana Ventures ($750,000); Big Brain Holdings ($750,000); Colosseum ($750,000); a16z crypto CSX ($750,000); Equilibrium.co ($750,000)"
sensible,Sensible,,DeFi,,,,,3750000.0,,37500000,37500000,3,"Coinbase Ventures ($1,250,000); Dragonfly Capital ($1,250,000); NextView ($1,250,000)"
spin-ico,Spin,SPFI,DeFi,,,0.05,,3750000.0,,28000000,28000000,6,"The Spartan Group ($625,000); Lemniscap ($625,000); ZMT Capital ($625,000); LongHash Ventures ($625,000); AngelDAO ($625,000)"
boomfi,BoomFi,,Blockchain Service,,,,,3800000.0000000005,,38000000,38000000,6,"Kraken ($633,333); White Star Capital ($633,333); Blockchain Founders Fund ($633,333); GSR Markets (GSR) ($633,333); Passion Capital ($633,333)"
raleon,Raleon,,Social,,,,,3800000.0,,38000000,38000000,4,"Blockchange Ventures ($950,000); Play Ventures ($950,000); Alliance ($950,000); Portal Ventures ($950,000)"
rise-2,Rise,,Finance,,,,,10100000.0,,38000000,63000000,14,"Ryze Labs (Sino Global Capital) ($1,366,667); Paradigm Shift Capital ($1,366,667); Polymorphic Capital ($1,366,667); Draper Associates ($1,366,667); Digital Currency Group (DCG) ($1,050,000)"
acctual,Acctual,,Web 3.0,,,,,3850000.0,,15000000,15000000,8,"IDEO CoLab Ventures ($481,250); Third Prime ($481,250); Ryan Selkis ($481,250); Soma Capital ($481,250); Alchemy Ventures ($481,250)"
nectar-ai,Nectar AI,,Artificial Intelligence (AI),,,,,3900000.0,,39000000,39000000,13,"Mechanism Capital ($300,000); DCF GOD ($300,000); Tekin Salimi ($300,000); Gabby Dizon ($300,000); George Lambeth ($300,000)"
fluid-protocol,Fluid Protocol,,DeFi,,,,,3900000.0,,39000000,39000000,16,"Animoca Brands ($243,750); CMS Holdings ($243,750); RockTree Capital ($243,750); Infinity Ventures Crypto (IVC) ($243,750); Stake Capital ($243,750)"
magmadao,MagmaDAO,,Liquid Staking Protocols,,,,,3900000.0,,39000000,39000000,11,"Animoca Brands ($354,545); CMS Holdings ($354,545); RockTree Capital ($354,545); Infinity Ventures Crypto (IVC) ($354,545); Stake Capital ($354,545)"
neptune-protocol,Neptune Protocol,,DeFi,,,,,3899999.9999999977,,39000000,39000000,22,"Animoca Brands ($177,273); CMS Holdings ($177,273); RockTree Capital ($177,273); Infinity Ventures Crypto (IVC) ($177,273); Stake Capital ($177,273)"
daisy-2,Daisy,,Social,,,,,3900000.0,,39000000,39000000,3,"CMT Digital ($1,300,000); Volt Capital ($1,300,000); Escape Velocity ($1,300,000)"
burger-swap,Burger Swap,BURGER,Yield Farming,,0.002683,,,4000000.0,,40000000,40000000,3,"Vega ventures ($1,333,333); SANYUAN Labs ($1,333,333); Bitfly Capital ($1,333,333)"
pop-social,Pop Social,PPT,Social,,0.007661,,,4000000.0,,40000000,40000000,7,"Fundamental Labs ($571,429); Ceras Ventures ($571,429); ChainLink ($571,429); Cointelegraph ($571,429); Fusion Labs ($571,429)"
din,DIN,DIN,Artificial Intelligence (AI),,0.04835,,,8000000.0,,40000000,40000000,12,"Moonbeam Network ($1,000,000); MaxxCapital ($1,000,000); Ankr ($1,000,000); Manta Network ($1,000,000); YZi Labs (prev Binance Labs) ($500,000)"
nftgo,NFTGo,,,,,,,10750000.0,,67500000,40000000,11,"Hash Global ($1,643,750); Qiming Venture Partners ($1,643,750); Youbi Capital ($843,750); Altonomy ($843,750); SeaX Ventures ($843,750)"
vibe-2,Vibe,,NFT,,,,,4000000.0,,40000000,40000000,2,"Alchemy ($2,000,000); Psy P Nation ($2,000,000)"
pyor,PYOR,,Big Data,,,,,4000000.0,,40000000,40000000,8,"Coinbase Ventures ($500,000); Future\Perfect Ventures ($500,000); Balaji Srinivasan ($500,000); Castle Island Ventures ($500,000); Antler ($500,000)"
concordia,Concordia,,DeFi,,,,,4000000.0,,40000000,40000000,4,"Tribe Capital ($1,000,000); Kraken ($1,000,000); Saison Capital ($1,000,000); Cypher Capital Group ($1,000,000)"
